"Facility";"Reactor";"Assembly Type";"Assembly ID";"Enrichment";"Uranium";"Burnup";"Discharge Date";"Measurement date";"Cooling time";"Measures decay heat";"Calculated decay heat";"Reactor Type"
"Clab";"Ringhals 3";"17x17";"3C5";3.101;458.87;38373;"5/30/1986";;8713;442.37;;"PWR"
"Clab";"Ringhals 3";"17x17";"1C5";3.101;457.99;38484;"5/30/1986";;8599;446.9;;"PWR"
"Clab";"Ringhals 3";"17x17";"0E2";3.103;463.6;41628;"7/7/1988";;6389;566;;"PWR"
"Clab";"Ringhals 3";"17x17";"0E2";3.103;463.6;41628;"7/7/1988";;6390;567.7;;"PWR"
"Clab";"Ringhals 3";"17x17";"0E2";3.103;463.6;41628;"7/7/1988";;7826;522.5;;"PWR"
"Clab";"Ringhals 3";"17x17";"0E2";3.103;463.6;41628;"7/7/1988";;7837;525.6;;"PWR"
"Clab";"Ringhals 3";"17x17";"0E2";3.103;463.6;41628;"7/7/1988";;7970;520.1;;"PWR"
"Clab";"Ringhals 3";"17x17";"5F2";3.425;451.7;47444;;;5332;673.6;;"PWR"
"Clab";"Ringhals 3";"17x17";"5F2";3.425;451.7;47444;;;6803;610.8;;"PWR"
"Clab";"Ringhals 2";"15x15";"F14";3.197;436.38;34009;"4/28/1983";;8306;370.2;;"PWR"
"Clab";"Ringhals 2";"15x15";"I24";3.203;429.6;34294;"4/30/1986";;7203;388.1;;"PWR"
"Clab";"Ringhals 2";"15x15";"F25";3.197;437.29;35352;"4/28/1983";;8297;386.8;;"PWR"
"Clab";"Ringhals 2";"15x15";"F25";3.197;437.29;35352;"4/28/1983";;9733;356.9;;"PWR"
"Clab";"Ringhals 2";"15x15";"F25";3.197;437.29;35352;"4/28/1983";;9734;365.9;;"PWR"
"Clab";"Ringhals 2";"15x15";"F21";3.197;435.94;36273;"4/13/1984";;7944;400.8;;"PWR"
"Clab";"Ringhals 2";"15x15";"F21";3.197;435.94;36273;"4/13/1984";;9377;378.7;;"PWR"
"Clab";"Ringhals 2";"15x15";"F21";3.197;435.94;36273;"4/13/1984";;9524;374.5;;"PWR"
"Clab";"Ringhals 2";"15x15";"I09";3.203;437.35;40188;"5/12/1988";;6458;487.7;;"PWR"
"Clab";"Ringhals 2";"15x15";"I09";3.203;437.35;40188;"5/12/1988";;7927;452.2;;"PWR"
"Clab";"Ringhals 1";"8x8";"710";2.258;;22617;;;8622;93.11;;"BWR"
"Clab";"Ringhals 1";"8x8";"8341";2.887;;34127;;;6489;154.6;;"BWR"
"Clab";"Ringhals 1";"8x8";"8341";2.887;;34127;;;6815;154.2;;"BWR"
"Clab";"Ringhals 1";"8x8";"8341";2.887;;34127;;;7550;143.4;;"BWR"
"Clab";"Ringhals 1";"8x8";"8338";2.911;177.6;34830;"8/5/1988";;6466;158.1;;"BWR"
"Clab";"Ringhals 1";"8x8";"8338";2.911;177.6;34830;"8/5/1988";;6803;150.6;;"BWR"
"Clab";"Ringhals 1";"8x8";"8332";2.895;177.52;34977;"8/5/1988";;6465;163.2;;"BWR"
"Clab";"Ringhals 1";"8x8";"8332";2.895;177.52;34977;"8/5/1988";;6507;159.3;;"BWR"
"Clab";"Ringhals 1";"8x8";"8332";2.895;177.52;34977;"8/5/1988";;6801;159.6;;"BWR"
"Clab";"Ringhals 1";"8x8";"8331";2.91;177.69;35903;"9/15/1989";;6079;173;;"BWR"
"Clab";"Ringhals 1";"8x8";"8331";2.91;177.69;35903;"9/15/1989";;6402;168.3;;"BWR"
"Clab";"Ringhals 1";"8x8";"6432";2.894;177.52;36861;"8/5/1988";;6425;175.9;;"BWR"
"Clab";"Ringhals 1";"8x8";"6432";2.894;177.52;36861;"8/5/1988";;7521;161.7;;"BWR"
"Clab";"Ringhals 1";"8x8";"6432";2.894;177.52;36861;"8/5/1988";;7526;161.7;;"BWR"
"Clab";"Ringhals 1";"8x8";"6454";2.898;177.68;37236;"8/15/1986";;7150;178.1;;"BWR"
"Clab";"Ringhals 1";"8x8";"8327";2.904;177.54;37851;"8/6/1991";;5371;184.5;;"BWR"
"Clab";"Ringhals 1";"8x8";"8327";2.904;177.54;37851;"8/6/1991";;5708;184;;"BWR"
"Clab New";"Ringhals 2";"15x15";"AF43";3.701;;45846;;;3387;765;;"PWR"
"Clab New";"Ringhals 2";"15x15";"H10";3.199;;40920;;;10791;404;;"PWR"
"Clab New";"Ringhals 3";"17x17";"0I4";3.426;;39756;;;7782;495.9;;"PWR"
"Clab New";"Ringhals 4";"17x17";"47C";2.803;;40473;;;10626;460;;"PWR"
"Clab New";"Ringhals 2";"15x15";"G12";3.185;;35027;;;11514;357.5;;"PWR"
"Clab New";"Ringhals 2";"15x15";"AI40";4.096;;52630;;;2722;979.3;;"PWR"
"Clab New";"Ringhals 2";"15x15";"AH14";3.925;;49555;;;2721;901.1;;"PWR"
"Clab New";"Ringhals 3";"17x17";"2P2";3.697;;43474;;;6677;574.4;;"PWR"
"Clab New";"Ringhals 4";"17x17";"22C";2.801;;31165;;;11048;331.1;;"PWR"
"Clab New";"Ringhals 4";"17x17";"31Y";3.944;;44483;;;3381;712;;"PWR"
"Clab New";"Ringhals 4";"17x17";"19P";3.704;;40294;;;6278;535;;"PWR"
"Clab New";"Ringhals 3";"17x17";"1C0";3.101;;34019;;;11061;364.8;;"PWR"
"Clab New";"Ringhals 3";"17x17";"1N2";3.505;;40745;;;7035;524.5;;"PWR"
"Clab New";"Ringhals 3";"17x17";"1N5";3.505;;43225;;;5942;577.9;;"PWR"
"Clab New";"Ringhals 3";"17x17";"4N1";3.6;;45658;;;6305;634.9;;"PWR"
"Clab New";"Ringhals 3";"17x17";"2M1";3.502;;28499;;;7404;359.8;;"PWR"
"Clab New";"Ringhals 4";"17x17";"20Z";3.937;;46866;;;3080;785.3;;"PWR"
"Clab New";"Ringhals 4";"17x17";"18Z";3.934;;46873;;;3038;786.2;;"PWR"
"Clab New";"Ringhals 3";"17x17";"2M8";3.601;;40410;;;7404;633.9;;"PWR"
"Clab New";"Ringhals 3";"17x17";"0A8";2.109;;23151;;;7783;267;;"PWR"
"Clab New";"Ringhals 4";"17x17";"22E";3.306;;44375;;;10284;539;;"PWR"
"Clab New";"Ringhals 4";"17x17";"47C";2.803;;40473;;;10626;513;;"PWR"
"Clab New";"Ringhals 4";"17x17";"26E";3.299;;42969;;;10285;520;;"PWR"
"Clab New";"Ringhals 3";"17x17";"4C2";3.101;;34032;;;11061;393;;"PWR"
"Clab New";"Ringhals 3";"17x17";"4A2";2.11;;19607;;;11855;255;;"PWR"
"Clab New";"Ringhals 1";"10x10";"23860";3.144;;46413;2006-08-29;2020-03-01;4933;281;;"BWR"
"Clab New";"Forsmark 3";"10x10";"23959";3.204;;43763;2004-08-17;2020-03-02;5676;268;;"BWR"
"Clab New";"Forsmark 2";"10x10";"20452";3.413;;44360;2002-08-12;2020-03-03;6413;259;;"BWR"
"Clab New";"Forsmark 2";"10x10";"20453";3.415;;41893;2002-08-12;2020-03-04;6414;241;;"BWR"
"Clab New";"Ringhals 1";"10x10";"23861";3.146;;42020;2006-08-29;2020-03-05;4937;249;;"BWR"
"Clab New";"Ringhals 1";"8x8";"4891";2.68;;37946;1985-09-12;2020-03-06;12594;183;;"BWR"
"Clab New";"Forsmark 3";"10x10";"23414";3.154;;41240;2004-08-17;2020-03-07;5681;249;;"BWR"
"Clab New";"Forsmark 3";"10x10";"KU7132";3.147;;39748;2005-05-19;2020-03-08;5407;238;;"BWR"
"Clab New";"Ringhals 1";"10x10";"23865";3.145;;40435;2007-09-07;2020-03-09;5408;242;;"BWR"
"Clab New";"Ringhals 1";"10x10";"23871";3.144;;39495;2006-08-29;2020-03-10;4942;230;;"BWR"
"Clab New";"Forsmark 2";"8x8";"5116";2.325;;31534;1992-08-22;2020-03-11;10063;162;;"BWR"
"Clab New";"Barsebäck 2";"10x10";"22826";2.962;;33506;2005-06-10;2020-03-12;5389;191;;"BWR"
"Clab New";"Barsebäck 2";"10x10";"22795";2.962;;36830;2005-06-10;2020-03-13;5390;216;;"BWR"
"Clab New";"Ringhals 1";"8x8";"1198";2.637;;30432;1985-09-12;2020-03-14;12602;146;;"BWR"
"Clab New";"Forsmark 2";"8x8";"5589";2.32;;29419;1989-08-25;2020-03-15;11160;143;;"BWR"
"Clab New";"Forsmark 2";"8x8";"5585";2.323;;26819;1987-06-11;2020-03-16;11967;126;;"BWR"
"Clab New";"Barsebäck 1";"8x8";"2158";2.779;;32712;1986-07-15;2020-03-17;12299;82;;"BWR"
"Clab New";"Forsmark 2";"8x8";"5091";2.096;;21523;1992-08-22;2020-03-18;10070;108;;"BWR"
"Clab New";"Forsmark 3";"8x8";"10980";2.581;;30815;1989-06-10;2020-03-19;11240;148;;"BWR"
"Clab New";"Barsebäck 2";"10x10";"23174";2.975;;26434;2005-06-10;2020-03-20;5397;142;;"BWR"
"Clab New";"Barsebäck 1";"8x8";"2161";2.779;;27674;1987-07-01;2020-03-21;11952;123;;"BWR"
"Clab New";"Barsebäck 2";"10x10";"23192";2.975;;20406;2005-06-10;2020-03-22;5399;104;;"BWR"
"Clab New";"Barsebäck 2";"10x10";"23195";2.975;;15990;2005-06-10;2020-03-23;5400;78;;"BWR"
"Clab New";"Forsmark 3";"8x8";"10712";1.281;;13316;1987-07-10;2020-03-24;11946;75;;"BWR"
"Clab New";"Forsmark 3";"8x8";"10680";1.284;;9128;1987-07-10;2020-03-25;11947;47;;"BWR"
"Clab New";"Ringhals 4";"17x17";"36AG";3.947;;52520;;;1637;1634;;"PWR"
"Clab New";"Ringhals 4";"17x17";"40AB";3.945;;54938;;;3142;1066;;"PWR"
"Clab New";"Ringhals 4";"17x17";"16AB";3.92;;50287;;;3567;902;;"PWR"
"Clab New";"Ringhals 4";"17x17";"18P";3.708;;50269;;;4925;780;;"PWR"
"Clab New";"Ringhals 4";"17x17";"39N";3.593;;50080;;;7826;679;;"PWR"
"Clab New";"Forsmark 1";"10x10";"KU1331";3.099;;42235;;2017-04-19;717;520;542;"BWR"
"Clab New";"Forsmark 1";"10x10";"KU1332";3.1;;42235;;2017-04-20;718;514;541;"BWR"
"Clab New";"Forsmark 1";"10x10";"KU2143";3.603;;46418;;2017-04-21;719;782;857;"BWR"
"Clab New";"Forsmark 1";"10x10";"KU2144";3.603;;46415;;2017-04-24;722;783;854;"BWR"
"Clab New";"Ringhals 4";"17x17";"10AF";3.892;;48438;;;994;1764;1748;"PWR"
